section,value,note
market_status,窄幅震荡，上涨家数约1724，下跌家数约3437,导入自 20260515_163017_market_review.json
main_sectors,暂无数据,导入自 20260515_163017_market_review.json
risk_level,中,导入自 20260515_163017_market_review.json
operation_tone,不追高，只等主线回踩承接；高位放量优先降风险。,导入自 20260515_163017_market_review.json
index_status,上证指数收4135.39，涨跌幅-1.02%，形态窄幅震荡；深证成指收15561.37，涨跌幅-1.17%，形态冲高回落；创业板指收3929.06，涨跌幅-0.56%，形态冲高回落,导入自 20260515_163017_market_review.json
volume_change,沪深主要指数成交额合计约 33445 亿，需结合昨日继续复核。,导入自 20260515_163017_market_review.json
index_money_flow_series,09:31=-6.58;09:36=-129.76;09:41=-229.90;09:46=-314.42;09:51=-475.48;09:56=-586.84;10:01=-692.05;10:06=-822.68;10:11=-838.38;10:16=-841.42;10:21=-838.43;10:26=-840.44;10:31=-851.13;10:36=-831.29;10:41=-853.34;10:46=-851.99;10:51=-828.02;10:56=-797.15;11:01=-769.91;11:06=-730.25;11:11=-695.88;11:16=-661.93;11:21=-650.20;11:26=-655.33;13:01=-637.65;13:06=-666.11;13:11=-693.27;13:16=-704.79;13:21=-711.32;13:26=-707.49;13:31=-717.85;13:36=-766.82;13:41=-810.58;13:46=-881.27;13:51=-951.55;13:56=-991.97;14:01=-1032.81;14:06=-1124.40;14:11=-1179.09;14:16=-1186.72;14:21=-1184.97;14:26=-1215.64;14:31=-1262.26;14:36=-1351.43;14:41=-1381.09;14:46=-1397.77;14:51=-1386.76;14:56=-1386.63;15:00=-1388.35,东方财富逐分钟主力净流，单位：亿元；核心三指数合计
sector_rotation,暂无板块轮动数据,导入自 20260515_163017_market_review.json
accumulation_direction,暂无数据,导入自 20260515_163017_market_review.json
sector_first_limit_up,,需人工补充每个板块最先封板的股票，格式：板块=股票(代码);板块=股票(代码)
capital_preference,主线优先看资金合力，弱分支不追高。,导入自 20260515_163017_market_review.json
sentiment_cycle,上涨/下跌约 1724/3437，情绪按结构性修复处理。,导入自 20260515_163017_market_review.json
risk_signal,高位放量、偏离均线过大的方向只做风险观察。,导入自 20260515_163017_market_review.json
tomorrow_watch,观察主线板块延续性、回踩承接和量能是否继续放大。,导入自 20260515_163017_market_review.json
