date,source,comment_source,content,mentioned_stocks,mentioned_sectors,value_reason,include_in_logic,note,time,platform,parent_type,parent_title,commenter,parent_id,parent_url,parent_cover,comment_id,comment_time,include_status,sentiment,action_note,value_score,is_selected
2026-05-17,yege,同花顺评论备份 20:56,帖子评论量备份：252 条。帖子摘要：合肥城建(002208)  这个我三月中旬说的波段。几个星期漫长的震仓阶段我估计很多人拿不住。我说过散户震仓的时候99%都拿不住。现在因为长鑫存储又上热门第一了。明天的预期就是要不你买不进，要不就是个坑。明天不走加速就是不符合预期。所以波段最难熬的就是震仓阶段。,合肥城建(002208),,同花顺帖子备份，需结合截图和评论热度人工复核。,待确认,post_id=2345727530; media=,,,,,,,,,,,,,,,
2026-05-17,yege,同花顺评论备份 18:52,帖子评论量备份：89 条。帖子摘要：飞龙股份(002536)  等等 20日线或者十日线，调整差不多了。,飞龙股份(002536),,同花顺帖子备份，需结合截图和评论热度人工复核。,待确认,post_id=2345717996; media=,,,,,,,,,,,,,,,
2026-05-17,yege,同花顺评论备份 18:51,帖子评论量备份：58 条。帖子摘要：英维克(002837)  调整也差不多了。最近最好别玩小市值的。短线已经慢慢被市场淘汰了。都在转趋势了。以前的情绪周期已经失效了。我也跟着市场进步在进步。,英维克(002837),,同花顺帖子备份，需结合截图和评论热度人工复核。,待确认,post_id=2345717916; media=,,,,,,,,,,,,,,,
2026-05-17,yege,同花顺评论备份 18:38,帖子评论量备份：194 条。帖子摘要：利通电子(603629)  调整差不多了。算力租赁老大差不多要发力了。,利通电子(603629),,同花顺帖子备份，需结合截图和评论热度人工复核。,待确认,post_id=2345716988; media=,,,,,,,,,,,,,,,
2026-05-17,yege,同花顺评论备份 18:31,帖子评论量备份：47 条。帖子摘要：中科曙光(603019)  这个也是算力的核心。还是那句话，缺口做防守。补缺就是弱，不补就是强。,中科曙光(603019),,同花顺帖子备份，需结合截图和评论热度人工复核。,待确认,post_id=2345716592; media=,,,,,,,,,,,,,,,
2026-05-17,yege,同花顺评论备份 13:32,帖子评论量备份：170 条。帖子摘要：ST洲际(600759)  *ST准油(002207)  *ST闻泰(600745)  这种情况散户很难避免，但是一个在天上一个在地下。很难理解。呼吁监管部门应该加强赔付机制。保护投资者的合法权益。,准油股份(002207),,同花顺帖子备份，需结合截图和评论热度人工复核。,待确认,post_id=2345701607; media=,,,,,,,,,,,,,,,
2026-05-17,yege,同花顺评论备份 11:26,帖子评论量备份：183 条。帖子摘要：润泽科技(300442) XD宝信软(600845)   光环新网(300383)   人气怎么突然又高了。又出啥利好消息啦！我只认资金。这几天资金进了跟就行了。我不认消息。不过算力租赁和aidc都是一直会有消息刺激的。并且国内有算力集群的公司不多。能做算力集成网的就那么几家，未来发展不可估量。,普丽盛(300442),AIDC;数据中心,同花顺帖子备份，需结合截图和评论热度人工复核。,待确认,post_id=2345695948; media=,,,,,,,,,,,,,,,
2026-05-17,lihongjuan,娟姐群聊 12:06,今天看看利通和剑桥的修复预期，但是也只能5日线低吸，昨天利通水下我拿了一点点先手，价格贵看不上的可以观望。然后看了一圈碳化硅，然后发现英唐智控这个不错，逻辑也比较硬，今天应该会打一层底仓。另外京运通底部放量，筹码集中度较高。技术面的票海昌新材。,利通电子(603629),,群聊原话已识别股票线索：利通电子(603629)；情绪=bullish。,是,creator=娟姐; source=李主任的兵😄群聊,,,,,,,,,,,,,,,
2026-05-17,lihongjuan,娟姐群聊 12:06,今天看看利通和剑桥的修复预期，但是也只能5日线低吸，昨天利通水下我拿了一点点先手，价格贵看不上的可以观望。然后看了一圈碳化硅，然后发现英唐智控这个不错，逻辑也比较硬，今天应该会打一层底仓。另外京运通底部放量，筹码集中度较高。技术面的票海昌新材。,剑桥科技(603083),,群聊原话已识别股票线索：剑桥科技(603083)；情绪=bullish。,是,creator=娟姐; source=李主任的兵😄群聊,,,,,,,,,,,,,,,
2026-05-17,lihongjuan,娟姐群聊 12:06,今天看看利通和剑桥的修复预期，但是也只能5日线低吸，昨天利通水下我拿了一点点先手，价格贵看不上的可以观望。然后看了一圈碳化硅，然后发现英唐智控这个不错，逻辑也比较硬，今天应该会打一层底仓。另外京运通底部放量，筹码集中度较高。技术面的票海昌新材。,英唐智控(300131),,群聊原话已识别股票线索：英唐智控(300131)；情绪=bullish。,是,creator=娟姐; source=李主任的兵😄群聊,,,,,,,,,,,,,,,
