time,category,source,title,content,related_stocks,related_sectors,note
14:52,yege_post,yege,2026-05-26 14:52 野哥同花顺动态,一动就是反t。所以根本不能动。,,含图片/截图核对,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dmelwo28377cm92e926e1
14:27,yege_post,yege,2026-05-26 14:27 野哥同花顺动态,给你们看看什么是波段，什么是心无旁骛，什么是干净的交易，老粉应该都记得这个中京我什么时候进的吧！,,含图片/截图核对,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dmd3x8yjzqjg6f8524f12
13:40,yege_post,yege,2026-05-26 13:40 雄韬股份(002733),雄韬股份(002733) 昨天早信的人，今天可以赚钱回家买床单了。迟信的人今天就是抬轿子的。,雄韬股份(002733),交易动作;个股相关,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dma8szilcu6eu7c4b6104
13:25,yege_post,yege,2026-05-26 13:25 德赛西威(002920),德赛西威(002920) 明天五日线就上穿所有均线了。,德赛西威(002920),个股相关;野哥同花顺逻辑,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dm9dxxn40nbw684f639d8
13:24,yege_post,yege,2026-05-26 13:24 国盾量子(688027),国盾量子(688027) 量子科技的，龙头。半年不看k线那种。,国盾量子(688027),个股相关;野哥同花顺逻辑,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dm9b15icgtat25462dcdf
盘中,lihongjuan_post,lihongjuan,李红娟 2026-05-26 群聊评论备份,昨天看见群里很多人跟了利通还有人今天打算去，没去的今天建议不要去了，这周它的涨幅不能超过9个点，明天前都还会控异动，主力为了把散户洗出去，后面的振幅肯定会很大的，我自己周四尾盘重仓，周五尾盘卖了接近1半，昨天做T后，成本已经非常低了，所以后面怎么走，我自己都能扛，但是你如果今天进去，当天不能接受7.8个点的振幅，就不…,利通电子(603629);昊志机电(300503);斯菱智驱(301550);众智科技(301361),,douyin://im/group
14:53,wangduoyu_video,wangduoyu,2026-05-26 14:53:06 5.26每日一开眼#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,视频评论抓取 142 条；有效线索 58 条；重点股票：九牧王(601566)、大众公用(600635)、中际联合(605305)、青龙管业(002457),九牧王(601566);大众公用(600635);中际联合(605305);青龙管业(002457);上海电力(600021);东方明珠(600637),AIDC;低压电器;光通信;医药;电力;电网设备,https://www.douyin.com/video/7644089961788440826
11:27,wangduoyu_video,wangduoyu,2026-05-26 11:27:40 有点惨#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,视频评论抓取 328 条；有效线索 89 条；重点股票：共达电声(002655)、上海电力(600021)、机器人(300024)、博云新材(002297),共达电声(002655);上海电力(600021);机器人(300024);博云新材(002297);双星新材(002585);大众公用(600635),玻纤;林业;电力;福建自贸区,https://www.douyin.com/video/7644037011783755633
14:52,valuable_comment,yege,同花顺评论备份 14:52,帖子评论量备份：83 条。帖子摘要：一动就是反t。所以根本不能动。,,含图片/截图核对,动态包含图片，可能有交易截图，需人工点开核对。
14:27,valuable_comment,yege,同花顺评论备份 14:27,帖子评论量备份：468 条。帖子摘要：给你们看看什么是波段，什么是心无旁骛，什么是干净的交易，老粉应该都记得这个中京我什么时候进的吧！,,含图片/截图核对,动态包含图片，可能有交易截图，需人工点开核对。
13:40,valuable_comment,yege,同花顺评论备份 13:40,帖子评论量备份：319 条。帖子摘要：雄韬股份(002733) 昨天早信的人，今天可以赚钱回家买床单了。迟信的人今天就是抬轿子的。,雄韬股份(002733),交易动作;个股相关,文本包含买入、进场、加仓、低吸、锁仓或试错等动作词。
13:25,valuable_comment,yege,同花顺评论备份 13:25,帖子评论量备份：133 条。帖子摘要：德赛西威(002920) 明天五日线就上穿所有均线了。,德赛西威(002920),个股相关;野哥同花顺逻辑,同花顺选股逻辑命中：THS-03 波段逻辑未破才持有。
13:24,valuable_comment,yege,同花顺评论备份 13:24,帖子评论量备份：55 条。帖子摘要：国盾量子(688027) 量子科技的，龙头。半年不看k线那种。,国盾量子(688027),个股相关;野哥同花顺逻辑,同花顺选股逻辑命中：THS-04 主线趋势优先，日周月共振加分。
盘中,valuable_comment,lihongjuan,李红娟群聊 未标注时间,昨天看见群里很多人跟了利通还有人今天打算去，没去的今天建议不要去了，这周它的涨幅不能超过9个点，明天前都还会控异动，主力为了把散户洗出去，后面的振幅肯定会很大的，我自己周四尾盘重仓，周五尾盘卖了接近1半，昨天做T后，成本已经非常低了，所以后面怎么走，我自己都能扛，但是你如果今天进去，当天不能接受7.8个点的振幅，就不…,利通电子(603629),,群聊原话已识别股票线索：利通电子(603629)；情绪=risk。
15:05,after_close,,盘后总结,以真实备份数据生成当日复盘，缺失模块保持暂无数据，不自动编造。,,,import_yeren_backup.py
