source,date,channel,title,url,image,summary,mentioned_stocks,mentioned_sectors,raw_text,note
yege,2026-05-12,同花顺帖子,2026-05-12 15:05 合力泰(002217),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dg3re8kkxwhyue5cded90,/media/2026-05-12/yege/alert_01_1505_2343003836.jpg;/media/2026-05-12/yege/daily_01_1505_2343003836.jpg,合力泰(002217) 今天4000家绿的，这个已经很强了，五日线就碰了一下。我反正就做自己看的懂的。而且也是免费分享的。赚钱嘛我也不要你的。你亏钱嘛也别人云亦云。一句话盈亏自负，毕竟你是家族内第一个打开k线的人，市场总归要套住你的。,合力泰(002217),风险提示;含图片/截图核对;个股相关;野哥同花顺逻辑;消费电子;光学光电子,合力泰(002217)  今天4000家绿的，这个已经很强了，五日线就碰了一下。我反正就做自己看的懂的。而且也是免费分享的。赚钱嘛我也不要你的。你亏钱嘛也别人云亦云。一句话盈亏自负，毕竟你是家族内第一个打开k线的人，市场总归要套住你的。,优先级 P1; 点赞 1347; 评论 1018; 转发 31; 本地截图 2 张
yege,2026-05-12,同花顺帖子,2026-05-12 14:53 良信股份(002706),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dg39cqpkyhiwm6f7472cd,/media/2026-05-12/yege/alert_01_1453_2342985513.jpg;/media/2026-05-12/yege/daily_02_1453_2342985513.jpg,良信股份(002706) 股吧历史都是惊人的相似，以前的圣阳第一次地板的时候，合力泰第一个炸板的时候。我在想，这样人到底怎么在股市存活的。你不回家种地对国家都是损失。,良信股份(002706),含图片/截图核对;个股相关;低压电器;AIDC,良信股份(002706)  股吧历史都是惊人的相似，以前的圣阳第一次地板的时候，合力泰第一个炸板的时候。我在想，这样人到底怎么在股市存活的。你不回家种地对国家都是损失。,优先级 P1; 点赞 745; 评论 564; 转发 33; 本地截图 2 张
yege,2026-05-12,同花顺帖子,2026-05-12 14:32 圣阳股份(002580),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dg29x3xmi60vq9bba9d46,/media/2026-05-12/yege/alert_01_1432_2342949526.jpg;/media/2026-05-12/yege/daily_03_1432_2342949526.jpg,圣阳股份(002580) 真拿不住了。0轴走了。双头太磨叽了。,圣阳股份(002580),减仓/退出风险;风险提示;含图片/截图核对;个股相关;野哥同花顺逻辑;储能;铅酸电池,圣阳股份(002580)  真拿不住了。0轴走了。双头太磨叽了。,优先级 P0; 点赞 717; 评论 541; 转发 15; 本地截图 2 张
yege,2026-05-12,同花顺帖子,2026-05-12 11:28 良信股份(002706),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfwu0dzpiknw69aa07542,/media/2026-05-12/yege/alert_01_1128_2342750561.jpg;/media/2026-05-12/yege/daily_01_1128_2342750561.jpg;/media/2026-05-12/yege/daily_04_1128_2342750561.jpg,良信股份(002706) 今晚开始，这个股吧就各种分析，各种老师来了。你们一天到晚跟着我屁股后面热评，你们不累吗？有时间也去选一些量价齐升的，形态漂亮的好股。才是正事。这个缺口做防守，如果回补缺口就是弱了。,良信股份(002706),交易动作;含图片/截图核对;个股相关;低压电器;AIDC,良信股份(002706)  今晚开始，这个股吧就各种分析，各种老师来了。你们一天到晚跟着我屁股后面热评，你们不累吗？有时间也去选一些量价齐升的，形态漂亮的好股。才是正事。这个缺口做防守，如果回补缺口就是弱了。,优先级 P1; 点赞 845; 评论 560; 转发 26; 本地截图 3 张
yege,2026-05-12,同花顺帖子,2026-05-12 11:23 天华新能(300390),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfwj3a4543som97f37304,/media/2026-05-12/yege/alert_01_1123_2342739471.jpg;/media/2026-05-12/yege/daily_02_1123_2342739471.jpg;/media/2026-05-12/yege/daily_05_1123_2342739471.jpg,天华新能(300390) 又被套了。服了。（叽里咕噜说啥呢。下午给我涨停。）,天华新能(300390),风险提示;含图片/截图核对;个股相关;野哥同花顺逻辑;锂电材料,天华新能(300390)  又被套了。服了。（叽里咕噜说啥呢。下午给我涨停。）,优先级 P1; 点赞 644; 评论 453; 转发 19; 本地截图 3 张
yege,2026-05-12,同花顺帖子,2026-05-12 11:15 圣阳股份(002580);良信股份(002706),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfw0o68fc5bzq011b608e,/media/2026-05-12/yege/alert_01_1115_2342720764.jpg;/media/2026-05-12/yege/alert_02_1115_2342720764.jpg;/media/2026-05-12/yege/daily_03_1115_2342720764.jpg;/media/2026-05-12/yege/daily_04_1115_2342720764.jpg;/media/2026-05-12/yege/daily_06_1115_2342720764.jpg;/media/2026-05-12/yege/daily_07_1115_2342720764.jpg,圣阳股份(002580) 良信股份(002706) 圣阳我快拿不住了。快给我加油打气。我也是家族第一个打开k线的人。,圣阳股份(002580);良信股份(002706),含图片/截图核对;个股相关;野哥同花顺逻辑;储能;铅酸电池;低压电器;AIDC,圣阳股份(002580)  良信股份(002706)  圣阳我快拿不住了。快给我加油打气。我也是家族第一个打开k线的人。,优先级 P1; 点赞 1109; 评论 752; 转发 14; 本地截图 6 张
yege,2026-05-12,同花顺帖子,2026-05-12 10:23 良信股份(002706),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfswb8nikln1y5471e7c5,/media/2026-05-12/yege/alert_01_1023_2342606652.jpg;/media/2026-05-12/yege/daily_05_1023_2342606652.jpg;/media/2026-05-12/yege/daily_08_1023_2342606652.jpg,良信股份(002706) 里面的有福了。我叫阿良，善良的良，就是给你们抬轿子。,良信股份(002706),含图片/截图核对;个股相关;低压电器;AIDC,良信股份(002706)  里面的有福了。我叫阿良，善良的良，就是给你们抬轿子。,优先级 P1; 点赞 913; 评论 581; 转发 14; 本地截图 3 张
yege,2026-05-12,同花顺帖子,2026-05-12 09:52 良信股份(002706),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfqf8f0yy1zhyc966a418,/media/2026-05-12/yege/alert_01_0952_2342516184.jpg;/media/2026-05-12/yege/daily_06_0952_2342516184.jpg;/media/2026-05-12/yege/daily_09_0952_2342516184.jpg,良信股份(002706) 今天如果涨停，这个涨停价很有意思。许愿能不能涨停。社保重仓的。符合大趋势。,良信股份(002706),含图片/截图核对;个股相关;野哥同花顺逻辑;低压电器;AIDC,良信股份(002706)  今天如果涨停，这个涨停价很有意思。许愿能不能涨停。社保重仓的。符合大趋势。,优先级 P1; 点赞 494; 评论 266; 转发 5; 本地截图 3 张
yege,2026-05-12,同花顺帖子,2026-05-12 09:26 良信股份(002706),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfofaz4cy5bli5bf27405,/media/2026-05-12/yege/alert_01_0926_2342443133.jpg;/media/2026-05-12/yege/daily_07_0926_2342443133.jpg;/media/2026-05-12/yege/daily_10_0926_2342443133.jpg,良信股份(002706) 你好，我是阿良，善良的良。我在aidc上面刻一个猛字。哈哈哈良心的良。。。,良信股份(002706),含图片/截图核对;个股相关;低压电器;AIDC,良信股份(002706)  你好，我是阿良，善良的良。我在aidc上面刻一个猛字。哈哈哈良心的良。。。,优先级 P1; 点赞 941; 评论 423; 转发 26; 本地截图 3 张
yege,2026-05-12,同花顺帖子,2026-05-12 09:13 圣阳股份(002580);合力泰(002217);天华新能(300390),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfny2d9xygpo6697f24dc,/media/2026-05-12/yege/alert_01_0913_2342425625.jpg;/media/2026-05-12/yege/alert_02_0913_2342425625.jpg;/media/2026-05-12/yege/alert_03_0913_2342425625.jpg;/media/2026-05-12/yege/daily_01_0913_2342425625.jpg;/media/2026-05-12/yege/daily_02_0913_2342425625.jpg;/media/2026-05-12/yege/daily_03_0913_2342425625.jpg;/media/2026-05-12/yege/daily_08_0913_2342425625.jpg;/media/2026-05-12/yege/daily_09_0913_2342425625.jpg;/media/2026-05-12/yege/daily_10_0913_2342425625.jpg;/media/2026-05-12/yege/daily_11_0913_2342425625.jpg;/media/2026-05-12/yege/daily_12_0913_2342425625.jpg;/media/2026-05-12/yege/daily_13_0913_2342425625.jpg,合力泰(002217) 天华新能(300390) 圣阳股份(002580) 行情好的时候不要乱动，不要t飞了。不要以一天二天的涨跌来评判自己的收益。个人分享。盈利自负。,圣阳股份(002580);合力泰(002217);天华新能(300390),含图片/截图核对;个股相关;野哥同花顺逻辑;储能;铅酸电池;消费电子;光学光电子;锂电材料,合力泰(002217)  天华新能(300390)  圣阳股份(002580)  行情好的时候不要乱动，不要t飞了。不要以一天二天的涨跌来评判自己的收益。个人分享。盈利自负。,优先级 P1; 点赞 1338; 评论 498; 转发 35; 本地截图 12 张
