date,code,name,exchange,period,adjustment,open,high,low,close,pre_close,change,pct_change,amplitude_pct,volume_lot,volume_shares,amount_wan,amount_yuan,turnover_rate_pct,source
2025-05-30,000727,冠捷科技,SZ,month,qfq,2.320,2.570,2.320,2.330,2.310,0.020,0.87,10.82,12203917,1220391700,297324.37,2973243700.00,26.95,tencent_newfqkline
2025-06-30,000727,冠捷科技,SZ,month,qfq,2.320,2.460,2.300,2.430,2.330,0.100,4.29,6.87,11507791,1150779100,272926.28,2729262800.00,25.41,tencent_newfqkline
2025-07-31,000727,冠捷科技,SZ,month,qfq,2.430,2.530,2.280,2.380,2.430,-0.050,-2.06,10.29,20726956,2072695600,500964.67,5009646700.00,45.74,tencent_newfqkline
2025-08-29,000727,冠捷科技,SZ,month,qfq,2.380,2.740,2.370,2.620,2.380,0.240,10.08,15.55,22219659,2221965900,567244.34,5672443400.00,49.06,tencent_newfqkline
2025-09-30,000727,冠捷科技,SZ,month,qfq,2.640,3.180,2.520,2.760,2.620,0.140,5.34,25.19,44955973,4495597300,1270516.92,12705169200.00,99.23,tencent_newfqkline
2025-10-31,000727,冠捷科技,SZ,month,qfq,2.770,2.820,2.530,2.600,2.760,-0.160,-5.80,10.51,14534957,1453495700,386956.88,3869568800.00,32.08,tencent_newfqkline
2025-11-28,000727,冠捷科技,SZ,month,qfq,2.600,2.820,2.530,2.630,2.600,0.030,1.15,11.15,16142657,1614265700,432667.88,4326678800.00,35.62,tencent_newfqkline
2025-12-31,000727,冠捷科技,SZ,month,qfq,2.630,2.920,2.520,2.540,2.630,-0.090,-3.42,15.21,30378171,3037817100,836679.40,8366794000.00,67.06,tencent_newfqkline
2026-01-30,000727,冠捷科技,SZ,month,qfq,2.550,2.770,2.540,2.550,2.540,0.010,0.39,9.06,19803708,1980370800,523746.71,5237467100.00,43.69,tencent_newfqkline
2026-02-27,000727,冠捷科技,SZ,month,qfq,2.530,2.670,2.480,2.650,2.550,0.100,3.92,7.45,9021797,902179700,233779.41,2337794100.00,19.92,tencent_newfqkline
2026-03-31,000727,冠捷科技,SZ,month,qfq,2.620,2.850,2.480,2.600,2.650,-0.050,-1.89,13.96,30180424,3018042400,813446.81,8134468100.00,66.62,tencent_newfqkline
2026-04-30,000727,冠捷科技,SZ,month,qfq,2.670,2.880,2.520,2.650,2.600,0.050,1.92,13.85,24342203,2434220300,660780.47,6607804700.00,53.75,tencent_newfqkline
2026-05-19,000727,冠捷科技,SZ,month,qfq,2.680,3.010,2.670,2.870,2.650,0.220,8.30,12.83,17633430,1763343000,502805.86,5028058600.00,38.93,tencent_newfqkline
