date,code,name,exchange,period,adjustment,open,high,low,close,pre_close,change,pct_change,amplitude_pct,volume_lot,volume_shares,amount_wan,amount_yuan,turnover_rate_pct,source
2024-05-24,000727,冠捷科技,SZ,week,qfq,2.240,2.280,2.180,2.190,2.240,-0.050,-2.23,4.46,2248499,224849900,50229.96,502299600.00,4.96,tencent_newfqkline
2024-05-31,000727,冠捷科技,SZ,week,qfq,2.190,2.200,2.120,2.160,2.190,-0.030,-1.37,3.65,1907091,190709100,41204.27,412042700.00,4.21,tencent_newfqkline
2024-06-07,000727,冠捷科技,SZ,week,qfq,2.170,2.180,2.020,2.090,2.160,-0.070,-3.24,7.41,2163715,216371500,45446.08,454460800.00,4.78,tencent_newfqkline
2024-06-14,000727,冠捷科技,SZ,week,qfq,2.080,2.150,2.050,2.130,2.090,0.040,1.91,4.78,1544526,154452600,32576.85,325768500.00,3.42,tencent_newfqkline
2024-06-21,000727,冠捷科技,SZ,week,qfq,2.140,2.210,2.080,2.130,2.130,0.000,0.00,6.10,2141518,214151800,46206.99,462069900.00,4.73,tencent_newfqkline
2024-06-28,000727,冠捷科技,SZ,week,qfq,2.130,2.140,1.970,2.060,2.130,-0.070,-3.29,7.98,2351708,235170800,48037.53,480375300.00,5.19,tencent_newfqkline
2024-07-05,000727,冠捷科技,SZ,week,qfq,2.060,2.090,1.980,2.030,2.060,-0.030,-1.46,5.34,1665405,166540500,33962.63,339626300.00,3.68,tencent_newfqkline
2024-07-12,000727,冠捷科技,SZ,week,qfq,2.010,2.110,1.950,2.080,2.030,0.050,2.46,7.88,2082439,208243900,42222.68,422226800.00,4.60,tencent_newfqkline
2024-07-19,000727,冠捷科技,SZ,week,qfq,2.070,2.080,1.980,2.000,2.080,-0.080,-3.85,4.81,1560469,156046900,31603.91,316039100.00,3.46,tencent_newfqkline
2024-07-26,000727,冠捷科技,SZ,week,qfq,2.000,2.010,1.850,1.920,2.000,-0.080,-4.00,8.00,2015466,201546600,38782.80,387828000.00,4.44,tencent_newfqkline
2024-08-02,000727,冠捷科技,SZ,week,qfq,1.920,2.020,1.900,1.960,1.920,0.040,2.08,6.25,1730685,173068500,33940.39,339403900.00,3.82,tencent_newfqkline
2024-08-09,000727,冠捷科技,SZ,week,qfq,1.950,1.980,1.880,1.940,1.960,-0.020,-1.02,5.10,1930398,193039800,37223.94,372239400.00,4.26,tencent_newfqkline
2024-08-16,000727,冠捷科技,SZ,week,qfq,1.930,2.040,1.890,2.010,1.940,0.070,3.61,7.73,2886419,288641900,56892.62,568926200.00,6.37,tencent_newfqkline
2024-08-23,000727,冠捷科技,SZ,week,qfq,2.020,2.020,1.880,1.920,2.010,-0.090,-4.48,6.97,1803264,180326400,35219.68,352196800.00,3.98,tencent_newfqkline
2024-08-30,000727,冠捷科技,SZ,week,qfq,1.920,2.010,1.880,1.990,1.920,0.070,3.65,6.77,2199703,219970300,42857.04,428570400.00,4.85,tencent_newfqkline
2024-09-06,000727,冠捷科技,SZ,week,qfq,1.990,2.010,1.910,1.920,1.990,-0.070,-3.52,5.03,2087093,208709300,40787.26,407872600.00,4.61,tencent_newfqkline
2024-09-13,000727,冠捷科技,SZ,week,qfq,1.920,1.990,1.880,1.890,1.920,-0.030,-1.56,5.73,3364295,336429500,64719.00,647190000.00,7.43,tencent_newfqkline
2024-09-20,000727,冠捷科技,SZ,week,qfq,1.890,1.920,1.840,1.910,1.890,0.020,1.06,4.23,1551117,155111700,29307.29,293072900.00,3.42,tencent_newfqkline
2024-09-27,000727,冠捷科技,SZ,week,qfq,1.920,2.180,1.910,2.170,1.910,0.260,13.61,14.14,4394698,439469800,89214.45,892144500.00,9.69,tencent_newfqkline
2024-09-30,000727,冠捷科技,SZ,week,qfq,2.260,2.380,2.220,2.370,2.170,0.200,9.22,7.37,1630220,163022000,37752.74,377527400.00,3.60,tencent_newfqkline
2024-10-11,000727,冠捷科技,SZ,week,qfq,2.610,2.610,2.150,2.190,2.370,-0.180,-7.59,19.41,5565593,556559300,132027.53,1320275300.00,12.29,tencent_newfqkline
2024-10-18,000727,冠捷科技,SZ,week,qfq,2.190,2.320,2.150,2.270,2.190,0.080,3.65,7.76,4223195,422319500,93799.27,937992700.00,9.33,tencent_newfqkline
2024-10-25,000727,冠捷科技,SZ,week,qfq,2.300,2.430,2.270,2.400,2.270,0.130,5.73,7.05,4720783,472078300,110415.02,1104150200.00,10.42,tencent_newfqkline
2024-11-01,000727,冠捷科技,SZ,week,qfq,2.410,3.140,2.400,2.950,2.400,0.550,22.92,30.83,16031625,1603162500,452934.06,4529340600.00,35.39,tencent_newfqkline
2024-11-08,000727,冠捷科技,SZ,week,qfq,2.860,3.420,2.700,3.190,2.950,0.240,8.14,24.41,18130769,1813076900,544047.64,5440476400.00,40.02,tencent_newfqkline
2024-11-15,000727,冠捷科技,SZ,week,qfq,3.150,3.240,2.800,2.820,3.190,-0.370,-11.60,13.79,9222034,922203400,279190.60,2791906000.00,20.35,tencent_newfqkline
2024-11-22,000727,冠捷科技,SZ,week,qfq,2.850,2.930,2.680,2.770,2.820,-0.050,-1.77,8.87,7213170,721317000,201606.83,2016068300.00,15.92,tencent_newfqkline
