date,code,name,exchange,adjustment,open,high,low,close,pre_close,change,pct_change,amplitude_pct,volume_lot,volume_shares,amount_wan,amount_yuan,turnover_rate_pct,ma5,ma10,ma20,ma60,vol_ma5_lot,vol_ma10_lot,vol_ma20_lot,high_20,low_20,high_60,low_60,bar_status,quote_time,source
2024-05-21,605006,山东玻纤,SH,qfq,5.800,5.800,5.660,5.690,5.790,-0.100,-1.73,2.42,28381,2838100,1630.64,16306400.00,0.47,5.692,5.681,5.576,5.633,31162,31152,35598,6.030,5.160,6.250,5.000,closed,,tencent_newfqkline
2024-05-22,605006,山东玻纤,SH,qfq,5.720,5.760,5.670,5.700,5.690,0.010,0.18,1.58,14179,1417900,817.89,8178900.00,0.24,5.724,5.681,5.587,5.641,30799,29412,35268,6.030,5.160,6.250,5.000,closed,,tencent_newfqkline
2024-05-23,605006,山东玻纤,SH,qfq,5.710,5.720,5.550,5.550,5.700,-0.150,-2.63,2.98,19617,1961700,1109.47,11094700.00,0.33,5.710,5.660,5.577,5.644,29427,28347,33138,5.950,5.160,6.250,5.000,closed,,tencent_newfqkline
2024-05-24,605006,山东玻纤,SH,qfq,5.560,5.600,5.500,5.510,5.550,-0.040,-0.72,1.80,15454,1545400,863.61,8636100.00,0.26,5.648,5.633,5.581,5.642,23516,27175,31029,5.950,5.160,6.250,5.000,closed,,tencent_newfqkline
2024-05-27,605006,山东玻纤,SH,qfq,5.510,5.520,5.370,5.440,5.510,-0.070,-1.27,2.72,19474,1947400,1065.30,10653000.00,0.32,5.578,5.624,5.586,5.635,19421,24419,29778,5.950,5.160,6.250,5.000,closed,,tencent_newfqkline
2024-05-28,605006,山东玻纤,SH,qfq,5.470,5.510,5.350,5.350,5.440,-0.090,-1.65,2.94,19814,1981400,1080.21,10802100.00,0.33,5.510,5.601,5.587,5.627,17708,24435,29362,5.950,5.160,6.250,5.000,closed,,tencent_newfqkline
2024-05-29,605006,山东玻纤,SH,qfq,5.380,5.440,5.350,5.400,5.350,0.050,0.93,1.68,13773,1377300,751.29,7512900.00,0.23,5.450,5.587,5.595,5.628,17626,24213,28415,5.950,5.230,6.250,5.000,closed,,tencent_newfqkline
2024-05-30,605006,山东玻纤,SH,qfq,5.380,5.460,5.290,5.330,5.400,-0.070,-1.30,3.15,19367,1936700,1046.08,10460800.00,0.32,5.406,5.558,5.591,5.625,17576,23502,27488,5.950,5.290,6.250,5.000,closed,,tencent_newfqkline
2024-05-31,605006,山东玻纤,SH,qfq,5.310,5.400,5.300,5.320,5.330,-0.010,-0.19,1.88,14286,1428600,769.52,7695200.00,0.24,5.368,5.508,5.590,5.621,17343,20429,27162,5.950,5.290,6.250,5.000,closed,,tencent_newfqkline
2024-06-03,605006,山东玻纤,SH,qfq,5.320,5.340,5.080,5.120,5.320,-0.200,-3.76,4.89,23656,2365600,1230.79,12307900.00,0.39,5.304,5.441,5.565,5.614,18179,18800,25996,5.950,5.080,6.250,5.000,closed,,tencent_newfqkline
2024-06-04,605006,山东玻纤,SH,qfq,5.100,5.110,5.020,5.050,5.120,-0.070,-1.37,1.76,19981,1998100,1018.75,10187500.00,0.33,5.244,5.377,5.529,5.606,18213,17960,24556,5.950,5.020,6.250,5.000,closed,,tencent_newfqkline
2024-06-05,605006,山东玻纤,SH,qfq,5.100,5.100,4.960,4.970,5.050,-0.080,-1.58,2.77,13991,1399100,699.12,6991200.00,0.23,5.158,5.304,5.492,5.598,18256,17941,23677,5.950,4.960,6.250,4.960,closed,,tencent_newfqkline
2024-06-06,605006,山东玻纤,SH,qfq,4.900,5.020,4.660,4.720,4.970,-0.250,-5.03,7.24,38833,3883300,1858.32,18583200.00,0.65,5.036,5.221,5.441,5.585,22149,19863,24105,5.950,4.660,6.250,4.660,closed,,tencent_newfqkline
